City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
202,Hithadhoo,MV,82.09,overcast clouds,-0.6,73.0833,Scoop Guest House
203,Faanui,PF,77.85,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
205,Appleton,US,78.89,clear sky,44.2619,-88.4154,La Quinta Inn & Suites by Wyndham Appleton College Avenue
211,Gouyave,GD,84.97,scattered clouds,12.1646,-61.7296,Rumboat Retreat
215,Kahului,US,82.42,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
223,Samarai,PG,80.01,overcast clouds,-10.6167,150.6667,Nuli Sapi
225,Manokwari,ID,77.77,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
228,Hirara,JP,78.91,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
229,Lorengau,PG,81.01,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
235,Santa Rosa,PH,79.11,light rain,14.3122,121.1114,Erlyn’s Sta Rosa City Home
236,Bud,US,82.67,overcast clouds,39.447,-86.1758,Ted McQuinn Trust
240,Kaoma,ZM,75.04,scattered clouds,-14.7833,24.8,KAOMA AIRPORT
241,Kismayo,SO,77.07,scattered clouds,-0.3582,42.5454,Agan-Hotel
242,Sola,VU,79.81,broken clouds,-13.8833,167.55,Leumerus Bungalows
244,La Flecha,HN,84.04,broken clouds,15.2833,-88.4833,Hotel y Comedor San Judas
246,Hermiston,US,76.71,clear sky,45.8404,-119.2895,Oxford Suites Hermiston
248,Shetpe,KZ,75.92,clear sky,44.1667,52.1167,Rtsm Shetpe Analog
251,Dingle,PH,76.24,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
253,Westport,US,85.32,clear sky,41.1415,-73.3579,The Westport Inn
255,Manono,CD,79.07,clear sky,-7.3,27.4167,Hotel hewa bora
256,Najrān,SA,84.63,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
258,Sibolga,ID,75.2,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
261,Saint Anthony,US,82.29,clear sky,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
262,Yangon,MM,78.76,broken clouds,16.8053,96.1561,Clover Hotel
268,Sarangani,PH,83.21,overcast clouds,5.4033,125.4636,JVL Inn and Cafeteria
270,São Filipe,CV,78.93,scattered clouds,14.8961,-24.4956,Hotel Xaguate
272,Jalu,LY,86.99,clear sky,29.0331,21.5482,صاحبة الفخامة
276,Ribas do Rio Pardo,BR,86.97,broken clouds,-20.4431,-53.7592,Pousada Avenida
278,Carutapera,BR,83.71,overcast clouds,-1.195,-46.02,Lidera
279,Bandarbeyla,SO,79.03,overcast clouds,9.4942,50.8122,JABIR HOTEL
281,Diu,IN,78.37,clear sky,20.7141,70.9822,Hotel Relax Inn
282,Beloha,MG,75.06,clear sky,-25.1667,45.05,
284,Bethel,US,83.43,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
286,Bathsheba,BB,88.41,few clouds,13.2167,-59.5167,Atlantis Hotel
287,Manbij,SY,78.39,clear sky,36.5281,37.9549,Manbej City Hotel
290,Katsuura,JP,80.35,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
291,Tezu,IN,75.2,overcast clouds,27.9167,96.1667,Circuit House
292,Miandrivazo,MG,77.81,clear sky,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
301,Paphos,CY,80.38,few clouds,34.7667,32.4167,Elysium Hotel
302,Hyderabad,IN,76.51,mist,17.3753,78.4744,Hotel Fortune Residency
303,Kavieng,PG,80.06,light rain,-2.5744,150.7967,Nusa Island Retreat
305,Mogadishu,SO,78.06,scattered clouds,2.0371,45.3438,Hotel Juba
308,Tra Vinh,VN,76.03,overcast clouds,9.9347,106.3453,Hồng Ân
315,Atlantic City,US,89.02,clear sky,39.3643,-74.4229,Courtyard by Marriott Atlantic City Beach Block
319,Dakar,SN,81.48,overcast clouds,14.6937,-17.4441,Novotel Dakar
323,San Joaquin,US,77.0,scattered clouds,37.9333,-121.3011,University Plaza Waterfront Hotel
326,Inhambane,MZ,75.18,broken clouds,-23.865,35.3833,Oceano
331,Candelaria,PH,76.39,light rain,13.9311,121.4233,Casa de Provincia
332,Kilindoni,TZ,76.3,few clouds,-7.9139,39.6668,Bustani B&B
341,Aitape,PG,77.99,overcast clouds,-3.1374,142.3475,
343,Ajdabiya,LY,78.6,clear sky,30.7554,20.2263,منزلة الحاج سالم خليفة العيساويه الزواوي
364,Namatanai,PG,77.68,light rain,-3.6667,152.4333,Seagulls Inn Namatani
365,Port Blair,IN,81.45,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
369,Sur,OM,81.9,clear sky,22.5667,59.5289,Sur Plaza Hotel
371,Riyadh,SA,89.74,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
374,Kailua,US,82.44,few clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
375,Shimoda,JP,77.11,light rain,34.6667,138.95,Shimoda Tokyu Hotel
376,Bellefontaine,US,78.66,broken clouds,40.3612,-83.7597,Super 8 by Wyndham Bellefontaine
379,Amahai,ID,77.13,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
385,Dibulla,CO,84.56,overcast clouds,11.2725,-73.3091,Hospedaje Dibulla Beach
386,Mana,GF,85.59,broken clouds,5.6592,-53.7767,LE SAMANA
389,Laguna,US,75.18,overcast clouds,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
390,Fort Morgan,US,89.02,clear sky,40.2503,-103.8,Hampton Inn Fort Morgan
392,Weligama,LK,78.17,overcast clouds,5.9667,80.4167,Weligama Bay Resort
394,Banda Aceh,ID,79.43,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
395,Kaduqli,SD,77.45,light rain,11.0167,29.7167,Nussyba
401,Salinópolis,BR,83.01,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
402,Ubari,LY,88.84,clear sky,26.5921,12.7805,فندق أوباري
403,Mitchell,US,84.18,clear sky,43.7094,-98.0298,Kelly Inn & Suites
405,Nuevitas,CU,88.18,clear sky,21.5453,-77.2644,Hotel Caonaba
418,Oyama,JP,79.59,overcast clouds,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
424,Lubuk Pakam,ID,77.14,overcast clouds,3.5604,98.8767,OYO 2538 Hotel Anugerah
425,Tāndā,IN,81.12,light rain,26.55,82.65,MUMTAZ GANJ TANDA
428,Dhidhdhoo,MV,81.48,overcast clouds,6.8833,73.1,Dhidhoo beach
